004_CALC Average Battery Module Temperature, Batt AvgT,0x220101,(val{000_Battery Module 01 Temperature}+val{000_Battery Module 02 Temperature}+val{000_Battery Module 03 Temperature}+val{000_Battery Module 04 Temperature})/4.0,-40,80,C,7E4
004_CALC Average Cell Voltage,Avg Cell V,0x220101,val{000_Battery DC Voltage}/98,2.80,4.20,V,7E4
