1_Niro_Cell Voltage 18,Cell 18,2102,v/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 19,Cell 19,2102,w/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 20,Cell 20,2102,x/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 21,Cell 21,2102,y/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 22,Cell 22,2102,z/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 23,Cell 23,2102,aa/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 24,Cell 24,2102,ab/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 25,Cell 25,2102,ac/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 26,Cell 26,2102,ad/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 27,Cell 27,2102,ae/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 28,Cell 28,2102,af/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 29,Cell 29,2102,ag/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 30,Cell 30,2102,ah/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 31,Cell 31,2102,ai/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 32,Cell 32,2102,aj/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 33,Cell 33,2103,e/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 34,Cell 34,2103,f/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 35,Cell 35,2103,g/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 36,Cell 36,2103,h/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 37,Cell 37,2103,i/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 38,Cell 38,2103,j/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 39,Cell 39,2103,k/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 40,Cell 40,2103,l/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 41,Cell 41,2103,m/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 42,Cell 42,2103,n/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 43,Cell 43,2103,o/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 44,Cell 44,2103,p/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 45,Cell 45,2103,q/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 46,Cell 46,2103,r/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 47,Cell 47,2103,s/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 48,Cell 48,2103,t/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 49,Cell 49,2103,u/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 50,Cell 50,2103,v/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 51,Cell 51,2103,w/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 52,Cell 52,2103,x/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 53,Cell 53,2103,y/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 54,Cell 54,2103,z/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 55,Cell 55,2103,aa/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 56,Cell 56,2103,ab/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 57,Cell 57,2103,ac/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 58,Cell 58,2103,ad/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 59,Cell 59,2103,ae/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 60,Cell 60,2103,af/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 61,Cell 61,2103,ag/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 62,Cell 62,2103,ah/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 63,Cell 63,2103,ai/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 64,Cell 64,2103,aj/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 65,Cell 65,2104,e/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 66,Cell 66,2104,f/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 67,Cell 67,2104,g/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 68,Cell 68,2104,h/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 69,Cell 69,2104,i/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 70,Cell 70,2104,j/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 71,Cell 71,2104,k/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 72,Cell 72,2104,l/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 73,Cell 73,2104,m/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 74,Cell 74,2104,n/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 75,Cell 75,2104,o/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 76,Cell 76,2104,p/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 77,Cell 77,2104,q/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 78,Cell 78,2104,r/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 79,Cell 79,2104,s/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 80,Cell 80,2104,t/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 81,Cell 81,2104,u/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 82,Cell 82,2104,v/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 83,Cell 83,2104,w/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 84,Cell 84,2104,x/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 85,Cell 85,2104,y/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 86,Cell 86,2104,z/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 87,Cell 87,2104,aa/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 88,Cell 88,2104,ab/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 89,Cell 89,2104,ac/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 90,Cell 90,2104,ad/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 91,Cell 91,2104,ae/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 92,Cell 92,2104,af/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 93,Cell 93,2104,ag/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 94,Cell 94,2104,ah/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 95,Cell 95,2104,ai/50,2.80,4.20,V,7E4
1_Niro_Cell Voltage 96,Cell 96,2104,aj/50,2.80,4.20,V,7E4
